task,linear_probe_loss,mean_cosine_sim,intrinsic_dim,fisher_separability,cka,downstream_accuracy
sst2,0.1926,0.9982,158,0.0109,0.0805,0.948
mnli,0.49,0.9962,151,0.0024,0.0116,0.876
qnli,0.351,0.9955,130,0.0015,0.008,0.928
qqp,0.2705,0.9975,152,0.0056,0.0503,0.919
rte,0.4438,0.9961,97,0.0046,0.0302,0.787
mrpc,0.2916,0.9969,121,0.0064,0.0492,0.902
cola,0.2866,0.9965,111,0.0056,0.0225,0.636
stsb,0.734,0.9961,121,0.0121,0.0247,0.912
wnli,0.4495,0.9973,35,0.0156,0.0704,0.657
cb,0.3182,0.9961,33,0.0919,0.313,0.821
boolq,0.365,0.9955,146,0.0007,0.0093,0.867
wic,0.431,0.9971,136,0.0029,0.0196,0.694
multirc,0.3895,0.9954,59,0.0012,0.0109,0.722
